"post_type","post_title","notes"
"match","November 17, 2010  W  1-0  South Africa      "," 52000  Cape Town, South Africa   Agudelo (65)"
"match","October 12, 2010  D  0-0  Columbia          ","  8823  Chester, PA, USA"
"match","October 09, 2010  D  2-2  Poland            "," 31696  Chicago, IL, USA   Altidore (13), Onyewu (52)"
"match","August 10, 2010  L  0-2  Brazil            "," 77223  East Rutherford, NJ, USA"
"match","June 26, 2010  L  1-2  Ghana             "," 34976  Rustenburg, South Africa (WC’10)   Donovan (62)"
"match","June 23, 2010  W  1-0  Algeria           "," 35827  Pretoria, South Africa (WC’10)   Donovan (91)"
"match","June 18, 2010  D  2-2  Slovenia          "," 45573  Johannesburg, South Africa (WC’10)   Donovan (48), Bradley (82)"
"match","June 12, 2010  D  1-1  England           "," 38646  Rustenburg, South Africa (WC’10)   Dempsey (40)"
"match","June 05, 2010  W  3-1  Australia         ","  6000  Roodespoort, South Africa   Buddle (4, 31), Gomez (93)"
"match","May 29, 2010  W  2-1  Turkey            "," 55407  Philadelphia, PA, USA   Altidore (58), Dempsey (75)"
"match","May 25, 2010  L  4-2  Czech Republic    "," 36218  East Hartford, CT, USA   Edu (17), Gomez (65)"
"match","March 03, 2010  L  1-2  Netherlands       "," 46630  Amsterdam, Neth.   Bocanegra (88)"
"match","February 24, 2010  W  2-1  El Salvador       "," 21737  Tampa, FL, USA   Ching (75), Cljestan (92)"
"match","January 23, 2010  L  1-3  Honduras          "," 18626  Carson, CA, USA   Goodson (70)"
"match","November 18, 2009  L  1-3  Denmark           "," 15172  Aarhus, Denmark   Cunningham (26)"
"match","November 14, 2009  L  0-1  Slovakia          ","  7200  Bratislava, Slovakia"
"match","October 14, 2009  D  2-2  Costa Rica        "," 26243  Washington, DC, USA (WCQ’10)   Bradley, Bornstein"
"match","October 10, 2009  W  3-2  Honduras          "," 37000  San Pedro Sula, Honduras (WCQ’10)   Casey (2), Donovan"
"match","September 09, 2009  W  1-0  Trinidad & Tobago ","        Port of Spain, Trinidad (WCQ’10)   Clark (62)"
"match","September 05, 2009  W  2-1  El Salvador       "," 19066  Sandy, UT, USA (WCQ’10)   Dempsey (41), Altidore (45 2)"
"match","August 12, 2009  L  1-2  Mexico            ","110000  Mexico City, MX (WCQ’10 )   Davies (9)"
"match","July 26, 2009  L  0-5  Mexico            "," 79156  East Rutherford, NJ, USA (GC’10)"
"match","July 23, 2009  W  2-0  Honduras          "," 55173  Chicago, IL, USA (GC’10)   Goodson (45), Cooper (90)"
"match","July 18, 2009  W  2-1  Panama            "," 31087  Philadelphia, PA, USA (GC’10)   Beckerman (49), Cooper (105 -PK)"
"match","July 11, 2009  D  2-2  Haiti             "," 24137  Foxboro, MA, USA (GC’10)   Arnaud (6), Holden (92)"
"match","July 08, 2009  W  2-0  Honduras          "," 26079  Washington, DC, USA (GC’10)   Quaranta (75), Ching (79)"
"match","July 04, 2009  W  4-0  Grenada           "," 15387  Seattle, WA, USA (GC’10)   Adu (7), Holden (31), Rogers (60), Davies (68)"
"match","June 28, 2009  L  2-3  Brazil            "," 52291  Johannesburg, South Africa (CC’10)   Dempsey (10), Donovan (74)"
"match","June 24, 2009  W  2-0  Spain             "," 35396  Bloemfontein, South Africa (CC’10)   Altidore (27), Dempsey (74)"
