"post_type","post_title","position","birthdate","hometoewn","jersey_number","caps","goals","last_match","bio"
"player","Marcelo Balboa","Defense","08/08/1967","","",128,13,"","1988-2000"
"player","DaMarcus Beasley","Defense","05/24/1982","Ft. Wayne, IN","Houston Dynamo",121,17,"November 14, 2014","",
"player","Kyle Beckerman","Midfield","04/23/1982","Crofton, MD","Real Salt Lake",42,1,"November 18, 2014","",
"player","Alejandro Bedoya","Midfield","04/29/1987","Weston, FL","Nantes (France)",37,2,"November 18, 2014","2010-",
"player","Tony Beltran","DF","October 11, 1987","","Real Salt Lake",3,0,"April 2, 2014","",
"player","Matt Besler","Defense","02/11/1987","Overland Park, KS","Sporting Kansas City",24,0,"","",
"player","Steve Birnbaum","Defense","1/23/1991","","D.C. United",1,0, "02/08/2015","2015-"
"player","Carlos Bocanegra","Defense","05/25/1979","","",110,14,"","2001-2012"
"player","Alex Bono","GK","April 25, 1994","","",0,0,"Toronto FC","January 28, 2015","",
"player","Terrence Boyd","Forward","February 16, 1991","","Germany RB Leipzig",13,0,"July 1 2014","",
"player","John Brooks","Defense","01/28/1993","Berlin, Germany","Hertha Berlin (Germany)",8,1,"November 14, 2014","",
"player","Paul Caligiuri","Defense","03/09/1964","","",110,5,"","1984-1997"
"player","Geoff Cameron","Defense","07/11/1985","Attleboro, MA","Stoke City (England)",31,1,"","",
"player","Edgar Castillo","DF","October 8, 1986","","Mexico Atlas",16,0,"March 5, 2014","",
"player","Timothy Chandler","Defense","","","",17,0,"November 18, 2014","",
"player","Joe Corona","MF","July 9, 1990","","Mexico Tijuana",14,2,"October 14, 2014","",
"player","Cody Cropper","GK","February 16, 1993","","England Southampton",0,0,"September 3, 2014","",
"player","Brad Davis","Midfield","11/8/1981","St. Charles, MO","Houston Dynamo",17,0,"July 1 2014","",
"player","Christian Dean","DF","March 14, 1993","","Canada Vancouver Whitecaps FC",0,0,"January 28, 2015","",
"player","Mix Diskerud","Midfield","10/02/1990","Oslo, Norway","New York City",26,5,"","",
"player","Maurice Edu","MF","April 18, 1986","","Philadelphia Union",46,1,"July 1 2014","",
"player","Brad Evans","DF","April 20, 1985","","Seattle Sounders FC",17,1,"January 28, 2015","",
"player","Dennis Flores","MF","September 21, 1993","","Mexico León",0,0,"January 28, 2015","",
"player","Greg Garza","DF","August 16, 1991","","Mexico Tijuana",5,0,"November 18, 2014","",
"player","Luis Gil","Midfield","1/14/1993","","Real Salt Lake","","","02/08/2015","2015-"
